Time (ps)	Pressure
1910.000000	-237.701355
1920.000000	9.560257
1930.000000	-192.852402
1940.000000	149.376343
1950.000000	-110.993874
1960.000000	-174.324875
1970.000000	29.752052
1980.000000	-187.056717
1990.000000	-15.840358
2000.000000	-51.642208
2010.000000	-176.230911
2020.000000	-476.987396
2030.000000	486.856293
2040.000000	195.835098
2050.000000	186.978210
2060.000000	135.321289
2070.000000	2.164953
2080.000000	147.134109
2090.000000	-282.308594
2100.000000	-187.571762
2110.000000	17.282784
2120.000000	82.465187
2130.000000	-264.870972
2140.000000	-13.825246
2150.000000	-305.650208
2160.000000	157.241821
2170.000000	81.227440
2180.000000	31.434259
2190.000000	216.424805
2200.000000	-144.731140
2210.000000	153.272568
2220.000000	90.938393
2230.000000	-195.959885
2240.000000	114.406303
2250.000000	73.293236
2260.000000	-171.038498
2270.000000	-13.977264
2280.000000	18.712471
2290.000000	-94.326599
2300.000000	-205.137466
2310.000000	-45.965027
2320.000000	33.639355
2330.000000	-452.938110
2340.000000	62.923889
2350.000000	-41.219967
2360.000000	-128.077957
2370.000000	-319.121094
2380.000000	151.975922
2390.000000	144.228439
2400.000000	-228.168274
2410.000000	79.045174
2420.000000	65.083824
2430.000000	44.331451
2440.000000	11.799678
2450.000000	114.559471
2460.000000	-35.983372
2470.000000	143.799957
2480.000000	-54.120602
2490.000000	-190.590515
2500.000000	-86.671509
2510.000000	-315.225067
2520.000000	-498.243011
2530.000000	144.355942
2540.000000	-36.741909
2550.000000	-341.362152
2560.000000	-412.784454
2570.000000	343.829987
2580.000000	-154.105637
2590.000000	107.679924
2600.000000	-148.481888
2610.000000	-386.067139
2620.000000	-20.075079
2630.000000	-186.119858
2640.000000	42.778568
2650.000000	-187.882736
2660.000000	-37.125469
2670.000000	76.310448
2680.000000	33.090893
2690.000000	13.833064
2700.000000	260.141205
2710.000000	-2.949313
2720.000000	-106.570473
2730.000000	-260.935120
2740.000000	28.697060
2750.000000	342.492523
2760.000000	-21.364500
2770.000000	-8.948964
2780.000000	148.202316
2790.000000	-112.287010
2800.000000	-138.722366
2810.000000	-28.646307
2820.000000	-60.208359
2830.000000	134.310471
2840.000000	-270.941589
2850.000000	143.041504
2860.000000	390.151825
2870.000000	204.992661
2880.000000	-95.331291
2890.000000	-173.693832
2900.000000	157.157104
2910.000000	134.419586
2920.000000	16.617050
2930.000000	-43.290607
2940.000000	-185.987549
2950.000000	-247.591125
2960.000000	-258.367676
2970.000000	-42.863384
2980.000000	-190.376663
2990.000000	-66.891457
3000.000000	87.495148
3010.000000	-269.191833
3020.000000	-87.821800
3030.000000	-84.623337
3040.000000	-28.204775
3050.000000	73.990425
3060.000000	257.797089
3070.000000	-291.773895
3080.000000	-37.159664
3090.000000	179.084610
3100.000000	434.548096
3110.000000	149.393021
3120.000000	-102.768433
3130.000000	1.488174
3140.000000	-59.218426
3150.000000	-23.999413
3160.000000	118.213081
3170.000000	-224.143311
3180.000000	-394.132599
3190.000000	84.836929
3200.000000	133.153641
3210.000000	278.480560
3220.000000	-200.122299
3230.000000	-67.497032
3240.000000	-169.307709
3250.000000	333.564026
3260.000000	-113.169861
3270.000000	-37.234653
3280.000000	-140.810242
3290.000000	149.185623
3300.000000	-298.831573
3310.000000	-234.931152
3320.000000	-45.279339
3330.000000	149.586319
3340.000000	78.226852
3350.000000	-128.849503
3360.000000	255.025192
3370.000000	169.633392
3380.000000	130.656189
3390.000000	74.230843
3400.000000	421.146118
3410.000000	-411.598511
3420.000000	-343.156219
3430.000000	247.386795
3440.000000	-148.347092
3450.000000	-187.566162
3460.000000	204.562912
3470.000000	-281.311035
3480.000000	62.981152
3490.000000	-274.614288
3500.000000	-6.727407
3510.000000	-94.508202
3520.000000	-54.467377
3530.000000	-126.385620
3540.000000	-283.357086
3550.000000	-143.981277
3560.000000	-71.998070
3570.000000	2.198502
3580.000000	327.086517
3590.000000	132.846909
3600.000000	-57.244755
3610.000000	157.209167
3620.000000	-188.541992
3630.000000	24.492920
3640.000000	62.333424
3650.000000	279.520050
3660.000000	-373.783081
3670.000000	-729.265869
3680.000000	-212.555466
3690.000000	149.725433
3700.000000	-52.794464
3710.000000	-237.778198
3720.000000	110.104271
3730.000000	27.268923
3740.000000	305.409912
3750.000000	-200.699890
3760.000000	146.930847
3770.000000	-184.361572
3780.000000	-216.019730
3790.000000	-336.547119
3800.000000	88.304474
3810.000000	-434.491486
3820.000000	-263.246796
3830.000000	-37.707047
3840.000000	-162.737244
3850.000000	58.993683
3860.000000	336.651764
3870.000000	-169.339218
3880.000000	-132.101288
3890.000000	208.438599
3900.000000	114.445656
3910.000000	-265.821869
3920.000000	67.173683
3930.000000	20.654715
3940.000000	99.163368
3950.000000	19.043152
3960.000000	-38.415672
3970.000000	-56.567348
3980.000000	100.342560
3990.000000	51.632694
4000.000000	102.973511
4010.000000	352.927399
4020.000000	276.710907
4030.000000	-28.987162
4040.000000	159.839966
4050.000000	349.351837
4060.000000	116.435364
4070.000000	-414.920074
4080.000000	330.742584
4090.000000	-195.778915
4100.000000	-118.559143
4110.000000	-151.825714
4120.000000	122.861137
4130.000000	-120.331917
4140.000000	115.124474
4150.000000	19.264297
4160.000000	-87.374428
4170.000000	-339.305511
4180.000000	29.662760
4190.000000	89.272926
4200.000000	-183.404495
4210.000000	-63.613689
4220.000000	3.407761
4230.000000	301.569611
4240.000000	-240.914749
4250.000000	15.121605
4260.000000	-211.665756
4270.000000	221.054504
4280.000000	67.254028
4290.000000	350.648682
4300.000000	7.123289
4310.000000	355.571381
4320.000000	-285.479584
4330.000000	264.118439
4340.000000	253.946701
