Time (ps)	Potential	Kinetic	Total
630.000000	-236672.140625	37379.296875	-199292.843750
640.000000	-237706.031250	37381.382812	-200324.656250
650.000000	-237140.406250	37573.105469	-199567.296875
660.000000	-238327.656250	37555.359375	-200772.296875
670.000000	-237192.390625	37775.140625	-199417.250000
680.000000	-238189.703125	37266.550781	-200923.156250
690.000000	-237737.500000	37470.230469	-200267.265625
700.000000	-237141.953125	37186.941406	-199955.015625
710.000000	-235809.875000	37403.187500	-198406.687500
720.000000	-236956.328125	37538.292969	-199418.031250
730.000000	-236638.359375	37588.324219	-199050.031250
740.000000	-237398.515625	37766.484375	-199632.031250
750.000000	-236920.484375	37397.937500	-199522.546875
760.000000	-237135.562500	36842.757812	-200292.812500
770.000000	-236742.968750	37000.320312	-199742.656250
780.000000	-236675.343750	37520.976562	-199154.375000
790.000000	-237296.906250	37462.585938	-199834.312500
800.000000	-237120.171875	38218.691406	-198901.484375
810.000000	-236769.890625	37597.406250	-199172.484375
820.000000	-237035.156250	37198.042969	-199837.109375
830.000000	-237104.046875	37687.671875	-199416.375000
840.000000	-237644.703125	37531.765625	-200112.937500
850.000000	-238018.218750	37569.371094	-200448.843750
860.000000	-236176.500000	37498.761719	-198677.734375
870.000000	-236693.578125	37599.636719	-199093.937500
880.000000	-237149.968750	37135.191406	-200014.781250
890.000000	-237074.515625	37646.953125	-199427.562500
900.000000	-237512.203125	37464.835938	-200047.375000
910.000000	-236622.609375	36982.027344	-199640.578125
920.000000	-237770.328125	37670.253906	-200100.078125
930.000000	-237185.906250	37574.820312	-199611.093750
940.000000	-237162.078125	37429.062500	-199733.015625
950.000000	-236832.578125	37650.316406	-199182.265625
960.000000	-237215.015625	37103.625000	-200111.390625
970.000000	-237766.859375	37510.164062	-200256.687500
980.000000	-236944.000000	37788.664062	-199155.343750
990.000000	-237228.609375	37782.261719	-199446.343750
1000.000000	-236607.140625	37725.781250	-198881.359375
1010.000000	-237637.953125	37331.687500	-200306.265625
1020.000000	-237039.406250	37399.699219	-199639.703125
1030.000000	-237578.859375	37431.648438	-200147.218750
1040.000000	-237851.203125	37809.246094	-200041.953125
1050.000000	-236609.406250	37249.007812	-199360.406250
1060.000000	-238174.656250	36988.929688	-201185.718750
1070.000000	-236797.531250	37349.382812	-199448.156250
1080.000000	-236821.078125	37314.050781	-199507.031250
1090.000000	-237020.609375	37107.156250	-199913.453125
1100.000000	-236145.125000	37076.093750	-199069.031250
1110.000000	-237056.015625	37135.035156	-199920.984375
1120.000000	-236957.265625	37795.964844	-199161.296875
1130.000000	-237110.125000	37714.328125	-199395.796875
1140.000000	-237522.156250	37195.664062	-200326.500000
1150.000000	-236468.421875	37461.496094	-199006.921875
1160.000000	-237421.312500	36997.265625	-200424.046875
1170.000000	-236663.656250	37423.796875	-199239.859375
1180.000000	-237223.656250	37754.800781	-199468.859375
1190.000000	-237491.937500	37875.125000	-199616.812500
1200.000000	-236626.187500	37441.042969	-199185.140625
1210.000000	-237661.546875	37333.050781	-200328.500000
1220.000000	-236181.390625	37468.230469	-198713.156250
1230.000000	-236713.718750	37793.023438	-198920.687500
1240.000000	-236892.156250	37224.214844	-199667.937500
1250.000000	-236858.406250	37572.308594	-199286.093750
1260.000000	-236676.953125	38144.843750	-198532.109375
1270.000000	-237903.671875	36989.070312	-200914.593750
1280.000000	-237577.937500	37137.171875	-200440.765625
1290.000000	-237729.093750	37897.886719	-199831.203125
1300.000000	-236782.937500	37592.789062	-199190.156250
1310.000000	-237947.578125	37324.820312	-200622.750000
1320.000000	-237311.218750	37141.441406	-200169.781250
1330.000000	-237121.921875	37062.433594	-200059.484375
1340.000000	-237469.296875	37823.601562	-199645.687500
1350.000000	-236580.687500	37418.136719	-199162.546875
1360.000000	-237291.156250	37643.167969	-199647.984375
1370.000000	-237065.796875	37542.812500	-199522.984375
1380.000000	-236569.703125	37176.304688	-199393.406250
1390.000000	-236450.656250	37398.343750	-199052.312500
1400.000000	-236813.765625	37606.945312	-199206.812500
1410.000000	-236505.984375	37963.687500	-198542.296875
1420.000000	-237178.515625	37353.984375	-199824.531250
1430.000000	-236667.015625	37428.906250	-199238.109375
1440.000000	-237061.890625	37388.878906	-199673.015625
1450.000000	-237164.828125	37167.226562	-199997.593750
