Time (ps)	Potential	Kinetic	Total
2220.000000	-0.004073	-0.103279	0.035508
2230.000000	0.056195	0.043499	0.034691
2240.000000	0.005411	-0.066526	-0.056832
2250.000000	0.021217	0.073316	-0.056021
2260.000000	-0.098516	-0.046106	-0.055148
2270.000000	0.002624	-0.007645	0.040998
2280.000000	-0.063755	-0.079121	-0.117168
2290.000000	-0.061540	0.057725	0.033100
2300.000000	-0.027518	0.050078	0.006006
2310.000000	0.049179	-0.010981	0.026949
2320.000000	-0.048273	-0.025656	0.004044
2330.000000	-0.078094	-0.012566	-0.022188
2340.000000	-0.070440	-0.008569	-0.045666
2350.000000	0.046925	-0.034820	-0.067209
2360.000000	-0.014048	0.021834	-0.000666
2370.000000	-0.012162	-0.019480	0.035665
2380.000000	0.042016	-0.102961	0.047808
2390.000000	0.034703	-0.034378	0.079501
2400.000000	0.060552	-0.011703	-0.006880
2410.000000	0.041018	0.073748	0.033628
2420.000000	-0.040354	-0.005752	-0.039072
2430.000000	0.049062	-0.001314	0.105533
2440.000000	0.132842	-0.061015	0.041373
2450.000000	-0.034507	-0.030305	-0.040530
2460.000000	0.038643	0.023863	-0.007908
2470.000000	0.039410	0.002497	0.114889
2480.000000	0.021707	-0.012763	-0.014277
2490.000000	-0.066494	-0.039480	-0.071594
2500.000000	-0.005604	-0.104401	-0.048058
2510.000000	-0.039044	0.054399	-0.124455
2520.000000	-0.080875	-0.070726	-0.124993
2530.000000	-0.124114	-0.024819	-0.114704
2540.000000	-0.012790	0.055510	-0.012514
2550.000000	-0.025405	-0.052828	-0.094406
2560.000000	0.021157	0.069952	0.002137
2570.000000	-0.066804	0.037606	-0.049457
2580.000000	-0.015609	0.028747	0.040306
2590.000000	0.047860	0.042607	0.038785
2600.000000	-0.074383	0.052313	-0.023460
2610.000000	0.110253	-0.033685	0.135880
2620.000000	-0.031284	0.021163	-0.007570
2630.000000	-0.050978	0.118871	-0.055813
2640.000000	-0.008647	-0.083270	-0.040935
2650.000000	-0.014036	0.049373	0.115118
2660.000000	0.013640	0.055024	0.045154
2670.000000	-0.015591	-0.002414	-0.042229
2680.000000	0.014406	-0.099131	-0.017971
2690.000000	0.014468	0.142098	0.016360
2700.000000	-0.043040	0.050752	0.014480
2710.000000	-0.045302	-0.101910	-0.034623
2720.000000	0.003553	-0.049820	0.024808
2730.000000	-0.055681	0.023876	-0.044719
2740.000000	-0.079874	0.086618	-0.021107
2750.000000	0.013824	-0.087004	0.059676
2760.000000	-0.040501	-0.057367	0.010404
2770.000000	0.036953	0.028532	0.037972
2780.000000	-0.007952	0.046032	0.007479
2790.000000	0.126118	-0.028749	0.112925
2800.000000	-0.030773	0.007924	0.045468
2810.000000	-0.049518	0.031386	0.046635
2820.000000	0.028285	-0.005580	-0.023375
2830.000000	0.083108	0.000893	0.024921
2840.000000	0.035003	-0.069132	-0.032919
2850.000000	-0.010954	0.021823	-0.045955
2860.000000	0.005352	-0.142972	0.044323
2870.000000	-0.043033	-0.024981	-0.051297
2880.000000	0.072268	0.095672	0.037205
2890.000000	0.003168	0.062897	-0.032449
2900.000000	0.009769	0.061763	0.048771
2910.000000	-0.064009	0.029516	-0.039119
2920.000000	-0.066002	0.052693	-0.113084
2930.000000	-0.006707	0.062208	0.001297
2940.000000	-0.105183	-0.053730	-0.034082
2950.000000	-0.034998	-0.065989	-0.090469
2960.000000	0.063689	-0.146043	0.091544
2970.000000	0.106000	0.061687	0.142151
2980.000000	-0.110568	0.045449	-0.100937
2990.000000	0.042603	-0.058247	0.071090
3000.000000	0.033340	-0.002000	-0.008985
3010.000000	-0.035132	0.006734	-0.078809
3020.000000	0.018652	0.000653	0.015115
3030.000000	0.004155	-0.048033	-0.005759
3040.000000	0.063339	-0.059793	0.035269
3050.000000	-0.034061	-0.026712	-0.071442
3060.000000	-0.026900	0.000955	-0.040908
3070.000000	0.044994	0.005310	-0.014175
3080.000000	-0.048325	0.046050	0.002931
3090.000000	-0.050202	-0.014723	0.048798
3100.000000	0.025864	0.056202	0.002950
3110.000000	-0.043840	-0.047216	-0.123474
3120.000000	-0.048888	-0.049852	-0.110519
3130.000000	-0.149455	-0.008713	-0.109151
3140.000000	0.137354	-0.152152	0.051622
3150.000000	-0.014545	0.005832	-0.025894
3160.000000	-0.037729	0.089489	-0.066331
3170.000000	-0.072675	0.134554	0.036953
3180.000000	-0.055753	0.002442	-0.038050
3190.000000	0.135310	-0.003777	0.145560
3200.000000	0.083322	0.042327	0.099729
3210.000000	-0.051495	0.070026	-0.032588
3220.000000	-0.031750	-0.067126	-0.075872
3230.000000	-0.039206	-0.080151	-0.034643
3240.000000	0.026284	-0.198573	-0.154527
3250.000000	-0.096504	0.039375	-0.144299
3260.000000	-0.080429	0.062091	0.004520
3270.000000	0.156752	0.052455	0.113697
3280.000000	-0.024885	0.065765	0.014085
