Time (ps)	Potential	Kinetic	Total
3000.000000	-228176.437500	41113.847656	-187062.593750
3010.000000	-228013.296875	41034.859375	-186978.437500
3020.000000	-228146.859375	40632.824219	-187514.031250
3030.000000	-227663.265625	40524.828125	-187138.437500
3040.000000	-228969.656250	40801.585938	-188168.062500
3050.000000	-227902.171875	41041.613281	-186860.562500
3060.000000	-228881.984375	41076.867188	-187805.125000
3070.000000	-227798.078125	41221.320312	-186576.750000
3080.000000	-227460.312500	40842.878906	-186617.437500
3090.000000	-227630.312500	41242.820312	-186387.500000
3100.000000	-228685.968750	40411.347656	-188274.625000
3110.000000	-228415.500000	41214.988281	-187200.515625
3120.000000	-227229.515625	40437.964844	-186791.546875
3130.000000	-228254.015625	41306.906250	-186947.109375
3140.000000	-227652.546875	40286.414062	-187366.125000
3150.000000	-227885.328125	41033.429688	-186851.906250
3160.000000	-228482.218750	40838.234375	-187643.984375
3170.000000	-227713.734375	40983.656250	-186730.078125
3180.000000	-227528.750000	41093.304688	-186435.437500
3190.000000	-229455.062500	40660.097656	-188794.968750
3200.000000	-229075.843750	40526.152344	-188549.687500
3210.000000	-229182.296875	40869.437500	-188312.859375
3220.000000	-228618.531250	40508.023438	-188110.500000
3230.000000	-227770.921875	40479.250000	-187291.671875
3240.000000	-228852.531250	40830.070312	-188022.468750
3250.000000	-229653.312500	41347.843750	-188305.468750
3260.000000	-228094.156250	40783.718750	-187310.437500
3270.000000	-228448.015625	41596.230469	-186851.781250
3280.000000	-227814.640625	40737.097656	-187077.546875
3290.000000	-228468.437500	41562.105469	-186906.328125
3300.000000	-227374.546875	40470.898438	-186903.656250
3310.000000	-227302.031250	40594.031250	-186708.000000
3320.000000	-227811.765625	40912.210938	-186899.562500
3330.000000	-228522.375000	40835.886719	-187686.484375
3340.000000	-228155.359375	40718.597656	-187436.765625
3350.000000	-227984.156250	40575.062500	-187409.093750
3360.000000	-227592.281250	40464.992188	-187127.281250
3370.000000	-228604.421875	40795.046875	-187809.375000
3380.000000	-227595.390625	40965.113281	-186630.281250
3390.000000	-227861.375000	40494.308594	-187367.062500
3400.000000	-227682.437500	40464.906250	-187217.531250
3410.000000	-228658.140625	40388.703125	-188269.437500
3420.000000	-229598.875000	41035.046875	-188563.828125
3430.000000	-228853.000000	40841.289062	-188011.718750
3440.000000	-228656.875000	41313.890625	-187342.984375
3450.000000	-228322.734375	40688.039062	-187634.687500
