Time (ps)	Pressure
1340.000000	334.304169
1350.000000	-255.374924
1360.000000	-90.602486
1370.000000	-158.600906
1380.000000	294.804932
1390.000000	48.600296
1400.000000	160.463669
1410.000000	-316.209320
1420.000000	213.036423
1430.000000	145.554886
1440.000000	-133.800827
1450.000000	-114.248413
1460.000000	-304.389618
1470.000000	117.798424
1480.000000	223.289719
1490.000000	185.784714
1500.000000	-216.625900
1510.000000	331.648285
1520.000000	-124.158028
1530.000000	-234.358841
1540.000000	-115.385590
1550.000000	-42.054737
1560.000000	-7.338697
1570.000000	44.954235
1580.000000	-85.449623
1590.000000	-179.085815
1600.000000	-297.190216
1610.000000	-248.089600
1620.000000	21.053757
1630.000000	114.234932
1640.000000	6.624509
1650.000000	-113.631096
1660.000000	-183.007812
1670.000000	61.216949
1680.000000	85.516548
1690.000000	-212.810745
1700.000000	285.942719
1710.000000	-45.541004
1720.000000	-121.422791
1730.000000	-181.122681
1740.000000	-162.807419
1750.000000	-413.261383
1760.000000	-252.354691
1770.000000	-100.272163
1780.000000	-233.209961
1790.000000	-41.253460
1800.000000	-40.085583
1810.000000	218.526901
1820.000000	78.071228
1830.000000	466.105957
1840.000000	197.104935
1850.000000	-21.975595
1860.000000	9.765925
1870.000000	-85.952614
1880.000000	89.191994
1890.000000	-32.549549
1900.000000	-128.119949
1910.000000	-107.267616
1920.000000	212.586121
1930.000000	-192.114151
1940.000000	-23.410149
1950.000000	136.841614
1960.000000	75.551094
1970.000000	-180.209396
1980.000000	-180.352783
1990.000000	-327.348267
2000.000000	152.146896
2010.000000	-235.878433
2020.000000	-181.082779
2030.000000	-33.890804
2040.000000	-51.559204
2050.000000	45.742085
2060.000000	108.305122
2070.000000	-209.854691
2080.000000	457.858246
2090.000000	-31.910028
2100.000000	79.923691
2110.000000	-243.950317
2120.000000	-85.469818
2130.000000	337.543732
2140.000000	485.014771
2150.000000	-96.444542
2160.000000	-86.365784
2170.000000	-180.675400
2180.000000	452.867676
2190.000000	181.746109
2200.000000	-145.450287
2210.000000	-11.034646
2220.000000	113.212059
2230.000000	-187.567017
2240.000000	21.542068
2250.000000	33.009777
2260.000000	-304.123322
2270.000000	-58.554569
2280.000000	104.795738
2290.000000	652.621155
2300.000000	-140.869354
2310.000000	315.502197
2320.000000	-157.249023
2330.000000	107.812904
2340.000000	-33.151764
2350.000000	-137.380020
2360.000000	-136.983368
2370.000000	-170.808578
2380.000000	-241.472961
2390.000000	-238.676559
2400.000000	19.004923
2410.000000	-285.064392
2420.000000	-129.219193
2430.000000	-455.288605
2440.000000	-25.755684
2450.000000	525.234131
2460.000000	-27.122705
2470.000000	22.381067
2480.000000	-99.179665
2490.000000	-251.407776
2500.000000	133.933609
2510.000000	-116.194939
2520.000000	17.739676
2530.000000	-64.151917
2540.000000	204.765305
2550.000000	-121.181030
2560.000000	-7.686544
2570.000000	-263.437958
2580.000000	37.563354
2590.000000	-54.913258
2600.000000	-46.911755
2610.000000	198.900833
2620.000000	122.052635
2630.000000	235.042068
2640.000000	26.668617
2650.000000	221.154678
2660.000000	-184.078125
2670.000000	70.150146
2680.000000	59.090008
2690.000000	79.740112
2700.000000	243.876236
2710.000000	-383.875488
2720.000000	244.375366
2730.000000	33.366318
2740.000000	-129.744568
2750.000000	401.992767
2760.000000	-201.832077
2770.000000	-169.408249
2780.000000	-48.390629
2790.000000	-136.812424
2800.000000	10.369756
2810.000000	149.063690
2820.000000	-134.632217
2830.000000	74.825653
2840.000000	-318.663147
2850.000000	-44.531147
2860.000000	232.244736
2870.000000	179.771255
2880.000000	25.498373
2890.000000	12.361714
2900.000000	4.002831
2910.000000	8.867752
2920.000000	-283.275024
2930.000000	-270.386078
2940.000000	299.889954
2950.000000	132.902328
2960.000000	-14.548779
2970.000000	-139.162949
2980.000000	220.055130
2990.000000	-140.379166
3000.000000	-24.134127
3010.000000	-328.117828
3020.000000	13.057124
3030.000000	-52.571377
3040.000000	190.717606
3050.000000	-179.753784
3060.000000	516.375671
3070.000000	179.742615
3080.000000	-147.130783
3090.000000	-111.181427
3100.000000	-138.950882
3110.000000	-97.328461
3120.000000	-99.881073
3130.000000	-318.110382
3140.000000	-342.154785
3150.000000	-170.952454
3160.000000	153.324997
3170.000000	207.653458
3180.000000	-189.353806
3190.000000	219.909073
3200.000000	142.483200
3210.000000	-70.526375
3220.000000	137.592453
3230.000000	232.963318
3240.000000	-329.338135
3250.000000	-62.500904
3260.000000	112.057190
3270.000000	130.189285
3280.000000	125.763680
3290.000000	-62.253223
3300.000000	24.205053
3310.000000	-292.707092
3320.000000	70.357765
3330.000000	-324.927643
3340.000000	423.828522
3350.000000	-450.154999
3360.000000	120.313568
3370.000000	-207.326675
3380.000000	328.966583
3390.000000	251.542282
3400.000000	-188.860229
3410.000000	27.633520
3420.000000	-180.532837
3430.000000	-40.184040
3440.000000	192.938644
3450.000000	-269.259186
3460.000000	-117.233803
3470.000000	-200.582809
3480.000000	20.304840
3490.000000	85.206573
3500.000000	117.678078
3510.000000	-174.570557
3520.000000	67.423637
3530.000000	-229.940689
3540.000000	-39.871067
3550.000000	173.641129
3560.000000	-51.339100
3570.000000	55.502361
3580.000000	-575.487366
3590.000000	-171.830948
3600.000000	-117.763084
3610.000000	148.918350
3620.000000	233.126419
3630.000000	346.105560
3640.000000	-99.027031
3650.000000	-60.859375
3660.000000	228.903992
3670.000000	-226.677246
3680.000000	143.745377
3690.000000	216.779343
3700.000000	92.103279
3710.000000	40.081139
3720.000000	-54.408451
3730.000000	17.255884
3740.000000	78.830688
3750.000000	9.379695
3760.000000	68.803658
3770.000000	22.963785
3780.000000	-63.114162
3790.000000	255.466599
3800.000000	-127.101807
3810.000000	113.271667
3820.000000	-308.295441
3830.000000	63.412464
3840.000000	551.847168
3850.000000	-230.830734
3860.000000	131.357773
3870.000000	467.047241
3880.000000	303.303802
3890.000000	83.542374
3900.000000	329.166138
3910.000000	27.030859
3920.000000	-193.924362
3930.000000	-250.652542
3940.000000	120.399437
3950.000000	-100.473228
3960.000000	120.051758
3970.000000	-141.329819
3980.000000	13.634185
3990.000000	273.032135
4000.000000	-241.569901
4010.000000	482.430908
4020.000000	-11.931348
4030.000000	-220.464050
4040.000000	-381.480438
4050.000000	-24.045540
4060.000000	134.775085
4070.000000	139.194656
4080.000000	-380.614349
4090.000000	-144.529770
4100.000000	133.996994
4110.000000	153.365479
4120.000000	-491.716888
4130.000000	346.943207
4140.000000	540.378906
4150.000000	-27.651220
4160.000000	304.661774
4170.000000	122.276482
4180.000000	184.497604
4190.000000	87.336731
4200.000000	118.785347
4210.000000	108.623146
4220.000000	106.097878
4230.000000	-381.041534
4240.000000	41.286152
4250.000000	-108.159515
4260.000000	93.521179
4270.000000	-222.110306
4280.000000	86.298515
4290.000000	-80.958992
4300.000000	157.019455
4310.000000	85.236427
4320.000000	105.210114
4330.000000	11.749034
4340.000000	53.787567
4350.000000	-309.880035
4360.000000	-198.394958
4370.000000	-358.339569
4380.000000	5.330060
4390.000000	102.565788
4400.000000	187.377365
4410.000000	123.539268
4420.000000	30.146021
4430.000000	-267.669220
4440.000000	-125.416176
4450.000000	238.172668
4460.000000	-132.314407
4470.000000	106.090218
4480.000000	-230.957657
4490.000000	16.723482
4500.000000	-116.457977
4510.000000	-54.661957
4520.000000	238.176392
4530.000000	-76.864952
4540.000000	4.100075
