Time (ps)	Temperature	Pressure
1180.000000	271.397369	-20.344875
1190.000000	277.354706	-42.136124
1200.000000	273.819946	-10.108762
1210.000000	273.869720	-48.331220
1220.000000	277.434448	81.541561
1230.000000	273.070618	347.581703
1240.000000	274.826141	-91.051049
1250.000000	272.497986	-5.114332
1260.000000	270.664001	-375.253044
1270.000000	275.487976	315.069355
1280.000000	274.006683	-96.773624
1290.000000	270.624084	126.545662
1300.000000	271.427277	194.143970
1310.000000	269.504242	-53.697385
1320.000000	272.758575	-228.240476
1330.000000	273.233276	22.624852
1340.000000	275.538422	310.141547
1350.000000	275.905762	-48.366015
1360.000000	274.661407	-49.490693
1370.000000	275.423126	-61.827121
1380.000000	274.579803	50.290230
1390.000000	272.254852	67.122803
1400.000000	273.657684	367.112074
1410.000000	273.055420	279.763516
1420.000000	277.019806	26.615189
1430.000000	270.574280	-146.785204
1440.000000	278.855438	11.911374
1450.000000	271.444031	119.173716
1460.000000	270.047272	-242.283287
1470.000000	274.472229	169.325122
1480.000000	273.072388	-207.788448
1490.000000	272.516418	-7.717063
1500.000000	274.724243	113.458346
1510.000000	271.569305	172.462143
1520.000000	275.637482	-317.653100
1530.000000	273.068542	185.595074
1540.000000	271.431702	73.275591
1550.000000	276.457703	-553.569111
1560.000000	274.255219	-88.440482
1570.000000	277.066956	102.701795
1580.000000	273.688904	-13.581053
1590.000000	275.053528	54.562373
1600.000000	274.630829	63.984313
1610.000000	268.800476	-31.967712
1620.000000	270.926331	133.788529
1630.000000	273.979889	276.699470
1640.000000	272.287384	72.353228
1650.000000	271.282898	37.779727
1660.000000	272.524414	-364.870445
1670.000000	275.771484	-150.091583
1680.000000	272.433807	256.211422
1690.000000	273.496460	-180.801776
1700.000000	274.633484	51.919960
1710.000000	274.759003	60.928811
1720.000000	275.955322	-152.699408
1730.000000	272.127869	-455.666276
1740.000000	274.553833	-399.250110
1750.000000	270.759094	60.273066
1760.000000	277.366089	-307.746253
1770.000000	270.766113	-163.282462
1780.000000	272.322754	-9.331586
1790.000000	274.524902	39.001078
1800.000000	272.000214	111.955124
1810.000000	273.805542	218.295799
1820.000000	273.887482	-228.845135
1830.000000	274.421356	-105.140889
1840.000000	269.884277	-34.352634
1850.000000	273.057983	3.716529
1860.000000	269.857941	-164.303449
1870.000000	271.422607	-69.518941
1880.000000	276.612427	-334.406576
1890.000000	274.432861	-350.887359
1900.000000	271.475220	226.796159
1910.000000	273.321442	-234.592934
1920.000000	274.397400	9.435238
1930.000000	271.027130	-190.330471
1940.000000	272.014740	147.422949
1950.000000	272.842773	-109.542407
1960.000000	272.586426	-172.045229
1970.000000	277.258759	29.362984
1980.000000	271.337067	-184.610576
1990.000000	273.538574	-15.633214
2000.000000	276.325470	-50.966883
2010.000000	271.378510	-173.926339
2020.000000	272.705017	-470.749832
2030.000000	273.135101	480.489673
2040.000000	273.954041	193.274162
2050.000000	272.370392	184.533096
2060.000000	275.586487	133.551693
2070.000000	269.968445	2.136642
2080.000000	272.582581	145.210036
2090.000000	269.584229	-278.616845
2100.000000	273.052246	-185.118886
2110.000000	273.631500	17.056777
2120.000000	274.837067	81.386790
2130.000000	270.605835	-261.407254
2140.000000	271.858002	-13.644453
2150.000000	274.052826	-301.653220
2160.000000	272.582611	155.185570
2170.000000	276.426605	80.165229
2180.000000	275.540802	31.023193
2190.000000	272.137970	213.594618
2200.000000	272.378082	-142.838491
2210.000000	273.234711	151.268223
2220.000000	274.426331	89.749192
2230.000000	264.986023	-193.397318
2240.000000	274.667236	112.910212
2250.000000	271.929077	72.334780
2260.000000	278.407593	-168.801828
2270.000000	271.518402	-13.794483
2280.000000	275.368103	18.467768
2290.000000	275.478363	-93.093090
2300.000000	272.091980	-202.454883
2310.000000	274.720367	-45.363942
2320.000000	271.840576	33.199453
2330.000000	271.992798	-447.015038
2340.000000	273.834747	62.101033
2350.000000	273.669647	-40.680933
2360.000000	270.067474	-126.403082
2370.000000	271.651611	-314.947947
2380.000000	273.343994	149.988533
2390.000000	270.483032	142.342364
2400.000000	272.300140	-225.184517
2410.000000	276.547546	78.011500
2420.000000	272.872620	64.232723
2430.000000	275.381500	43.751729
2440.000000	273.068939	11.645374
2450.000000	272.710602	113.061377
2460.000000	273.257782	-35.512817
2470.000000	273.389374	141.919485
2480.000000	274.773712	-53.412867
2490.000000	272.618286	-188.098163
2500.000000	272.276947	-85.538106
2510.000000	272.689178	-311.102869
2520.000000	272.956390	-491.727487
2530.000000	273.869354	142.468199
2540.000000	275.440247	-36.261435
2550.000000	273.599609	-336.898159
2560.000000	271.773438	-407.386472
2570.000000	275.808044	339.333722
2580.000000	274.514069	-152.090398
2590.000000	271.562744	106.271794
2600.000000	274.984436	-146.540190
2610.000000	270.441895	-381.018539
2620.000000	271.336212	-19.812557
2630.000000	270.833344	-183.685969
2640.000000	269.509186	42.219153
2650.000000	272.755280	-185.425793
2660.000000	272.884277	-36.639979
2670.000000	272.011658	75.312536
2680.000000	270.174530	32.658163
2690.000000	274.299194	13.652169
2700.000000	270.966248	256.739338
2710.000000	276.761261	-2.910745
2720.000000	274.213837	-105.176851
2730.000000	270.758728	-257.522871
2740.000000	272.934967	28.321789
2750.000000	272.879059	338.013748
2760.000000	269.853729	-21.085116
2770.000000	269.845245	-8.831938
2780.000000	274.747711	146.264274
2790.000000	272.999115	-110.818633
2800.000000	275.941925	-136.908294
2810.000000	274.388641	-28.271699
2820.000000	274.396393	-59.421014
2830.000000	270.854004	132.554093
2840.000000	269.772400	-267.398486
2850.000000	272.486298	141.170950
2860.000000	275.763000	385.049810
2870.000000	275.339050	202.311972
2880.000000	274.135773	-94.084644
2890.000000	270.068573	-171.422438
2900.000000	274.519562	155.101961
2910.000000	274.992340	132.661781
2920.000000	274.752380	16.399749
2930.000000	272.407532	-42.724496
2940.000000	275.258698	-183.555390
2950.000000	275.293396	-244.353376
2960.000000	269.267365	-254.989002
2970.000000	273.777802	-42.302860
2980.000000	270.758667	-187.887107
2990.000000	273.957611	-66.016717
3000.000000	272.943909	86.350974
3010.000000	275.262115	-265.671611
3020.000000	269.312317	-86.673354
3030.000000	271.704071	-83.516718
3040.000000	272.002686	-27.835941
3050.000000	275.810608	73.022852
3060.000000	271.478546	254.425876
3070.000000	273.944794	-287.958368
3080.000000	271.958069	-36.673727
3090.000000	274.959320	176.742721
3100.000000	277.270203	428.865511
3110.000000	276.644409	147.439408
3120.000000	273.773041	-101.424530
3130.000000	272.622528	1.468713
3140.000000	271.745361	-58.444027
3150.000000	273.508728	-23.685573
3160.000000	272.696808	116.667209
3170.000000	274.338043	-221.212189
3180.000000	273.334656	-388.978527
3190.000000	269.889435	83.727516
3200.000000	271.643341	131.412391
3210.000000	274.857819	274.838870
3220.000000	275.885895	-197.505300
3230.000000	272.342651	-66.614373
3240.000000	270.428040	-167.093672
3250.000000	277.022614	329.202009
3260.000000	270.993286	-111.689939
3270.000000	273.855743	-36.747735
3280.000000	272.629456	-138.968866
3290.000000	273.420135	147.234723
3300.000000	275.103516	-294.923753
3310.000000	270.312134	-231.858957
3320.000000	269.347626	-44.687221
3330.000000	273.505249	147.630179
3340.000000	269.502014	77.203879
3350.000000	272.455505	-127.164538
3360.000000	273.554932	251.690228
3370.000000	270.139648	167.415096
3380.000000	271.649719	128.947598
3390.000000	271.705627	73.260126
3400.000000	273.040955	415.638790
3410.000000	271.485352	-406.216037
3420.000000	273.093201	-338.668765
3430.000000	276.294739	244.151718
3440.000000	268.752594	-146.407157
3450.000000	276.616516	-185.113359
3460.000000	275.555176	201.887843
3470.000000	272.144501	-277.632331
3480.000000	274.882690	62.157547
3490.000000	273.044891	-271.023157
3500.000000	272.201263	-6.639433
3510.000000	269.637146	-93.272318
3520.000000	273.703766	-53.755107
3530.000000	268.406006	-124.732875
3540.000000	273.234894	-279.651625
3550.000000	272.122162	-142.098434
3560.000000	273.129303	-71.056551
3570.000000	272.075500	2.169752
3580.000000	271.652466	322.809207
3590.000000	273.366333	131.109670
3600.000000	277.017883	-56.496165
3610.000000	274.837189	155.153343
3620.000000	271.675751	-186.076428
3630.000000	274.265564	24.172626
3640.000000	272.979065	61.518290
3650.000000	273.542999	275.864766
3660.000000	269.595947	-368.895120
3670.000000	271.382446	-719.729259
3680.000000	272.780457	-209.775878
3690.000000	277.357147	147.767474
3700.000000	273.094788	-52.104071
3710.000000	274.004822	-234.668773
3720.000000	270.089294	108.664437
3730.000000	276.532379	26.912327
3740.000000	274.275299	301.416067
3750.000000	272.029694	-198.075338
3760.000000	272.374847	145.009432
3770.000000	274.105804	-181.950676
3780.000000	268.321960	-213.194840
3790.000000	274.358826	-332.146092
3800.000000	275.283203	87.149716
3810.000000	273.207672	-428.809641
3820.000000	271.222382	-259.804318
3830.000000	275.650360	-37.213952
3840.000000	272.778931	-160.609129
3850.000000	275.960175	58.222223
3860.000000	271.644867	332.249369
3870.000000	277.460571	-167.124769
3880.000000	273.109131	-130.373799
3890.000000	274.075684	205.712847
3900.000000	271.850739	112.949050
3910.000000	274.552063	-262.345716
3920.000000	270.976044	66.295253
3930.000000	269.049866	20.384613
3940.000000	272.948883	97.866609
3950.000000	273.120270	18.794125
3960.000000	276.236511	-37.913310
3970.000000	273.194855	-55.827617
3980.000000	271.277618	99.030380
3990.000000	274.664948	50.957493
4000.000000	273.452148	101.626926
4010.000000	272.676575	348.312167
4020.000000	271.845520	273.092358
4030.000000	272.423645	-28.608097
4040.000000	273.248260	157.749739
4050.000000	273.039246	344.783363
4060.000000	274.024872	114.912739
4070.000000	271.967957	-409.494164
4080.000000	276.051178	326.417463
4090.000000	269.037048	-193.218714
4100.000000	275.299255	-117.008745
4110.000000	271.271820	-149.840289
4120.000000	273.114197	121.254482
4130.000000	274.901733	-118.758337
4140.000000	274.163147	113.618991
4150.000000	272.301056	19.012378
4160.000000	269.747253	-86.231833
4170.000000	271.935303	-334.868413
4180.000000	273.331818	29.274860
4190.000000	269.446747	88.105504
4200.000000	269.533508	-181.006114
4210.000000	271.975311	-62.781813
4220.000000	270.005188	3.363198
4230.000000	271.883911	297.625985
4240.000000	276.361511	-237.764307
4250.000000	272.154236	14.923860
4260.000000	275.247711	-208.897803
4270.000000	273.821655	218.163774
4280.000000	267.572327	66.374547
4290.000000	273.452637	346.063249
4300.000000	277.126709	7.030138
4310.000000	274.253784	350.921574
4320.000000	271.392303	-281.746367
4330.000000	273.983856	260.664562
4340.000000	273.316895	250.625840
4350.000000	269.657074	-78.194198
4360.000000	275.243103	334.476271
4370.000000	274.375702	88.973444
4380.000000	272.602997	-63.377275
4390.000000	274.560150	-123.719328
4400.000000	273.827667	263.348180
4410.000000	274.634125	191.431905
4420.000000	274.313904	265.887050
4430.000000	271.962463	-120.093203
4440.000000	273.850281	-64.382849
4450.000000	273.242035	-437.186288
4460.000000	271.158905	137.666949
4470.000000	272.547455	-293.307293
4480.000000	271.455780	-73.228132
4490.000000	272.754456	-150.405117
4500.000000	271.446686	14.485796
4510.000000	274.948792	-251.687547
4520.000000	270.131622	212.178807
4530.000000	271.456451	-46.864894
4540.000000	275.747986	-209.349039
4550.000000	274.574066	191.615341
4560.000000	267.533417	114.938219
4570.000000	271.667084	161.006889
4580.000000	273.930725	-17.165977
4590.000000	273.399200	-65.361753
4600.000000	271.608368	-212.374864
4610.000000	274.850464	85.578848
4620.000000	273.252655	-359.189011
4630.000000	275.367889	-51.397977
4640.000000	270.400146	395.498459
4650.000000	276.276093	-264.739203
4660.000000	274.162506	42.285244
4670.000000	274.756012	200.447832
4680.000000	273.340942	251.019248
4690.000000	273.136108	-401.834849
4700.000000	272.463379	-87.042683
4710.000000	275.647888	-226.181575
4720.000000	273.032928	-314.986860
4730.000000	272.608337	163.040806
4740.000000	273.653564	-377.117078
4750.000000	269.043823	-194.023978
4760.000000	277.029083	75.771240
4770.000000	271.303253	27.305510
4780.000000	274.950165	49.751014
4790.000000	272.491028	190.588481
4800.000000	273.859467	80.267134
4810.000000	272.716949	367.957621
4820.000000	273.541046	-439.467794
4830.000000	275.936310	124.567849
4840.000000	275.402496	382.466396
4850.000000	272.086914	146.488130
4860.000000	272.972137	93.986894
4870.000000	274.850861	-132.502018
4880.000000	270.023071	-384.846570
4890.000000	270.054901	-168.816902
4900.000000	274.125031	276.727963
4910.000000	274.325470	-176.895602
4920.000000	269.511383	-287.552671
4930.000000	272.470367	-14.001232
4940.000000	274.739410	-175.349589
4950.000000	277.073853	-311.547539
4960.000000	272.504883	299.039235
4970.000000	273.057251	-376.987358
4980.000000	273.071716	-152.097731
4990.000000	274.736542	-91.359952
5000.000000	275.284424	60.622257
